,ccode,country,year,Total ,age 15-17,age 18-19,<20,>20,age 20-34,age 35-49
159,NAM,Namibia,2006.0,93.90698464864565,94.8092127767703,94.7066200880966,94.74538838238267,93.7441675989028,94.81604455454902,88.79771021183338
160,NAM,Namibia,2013.0,96.57955560275441,96.68430831077195,94.70304805632486,95.42707273884659,96.78484734107015,96.91744412273933,96.19567975171447
161,NPL,Nepal,2001.0,27.8165166239332,40.227895208215685,31.68826520454865,34.85827770135664,26.243143119580292,28.02553733737773,12.755900730009786
162,NPL,Nepal,2006.0,45.31016533953142,53.03836013214423,51.40772032440052,52.004017393615406,43.62963702516312,45.21404718862901,26.685030367175017
163,NPL,Nepal,2011.0,61.00547396508495,67.6308823157352,67.58894646200065,67.60227232074496,59.483617833161404,61.428577352768386,35.792500360971104
164,NPL,Nepal,2014.0,68.3259053831899,60.246165148963236,67.96342547818564,65.59062333090253,68.88687980577843,70.28149350978204,50.400311929167465
165,NIC,Nicaragua,2001.0,85.64205572866827,87.02437716503482,83.791909431882,85.35215337207255,85.75110201362618,86.82939587659213,78.34960398603525
166,NER,Niger,2000.0,40.868575485562566,27.049681314259626,31.880654313188927,29.96715734826598,42.47491251542402,43.14410712811016,39.850716049442724
167,NER,Niger,2006.0,46.999695507910424,48.16333681375562,43.409677578843784,45.64882745072777,47.30547780466247,47.51935089515899,46.35525933785014
168,NER,Niger,2012.0,85.13358904218912,83.91399096515748,85.99628637297118,85.12647331677688,85.1348649058702,85.13030912567915,85.15762884177084
169,NGA,Nigeria,2003.0,58.321796659933426,45.05241311524565,48.36182575834581,47.09737401768631,60.899931558905394,61.991621338522066,55.74768257457951
170,NGA,Nigeria,2007.0,61.41135938924263,48.00083916489843,49.89259785932466,49.28626135248803,66.84354389361965,67.87511357994862,61.634415745093584
171,NGA,Nigeria,2008.0,57.41886351201517,39.64495993729747,47.13499400333699,44.18235776699405,59.683807055605655,60.84687418456498,54.576847546736026
172,NGA,Nigeria,2011.0,66.2451595225472,42.62682033837974,53.04386678076918,49.44831051013012,68.33071638044866,69.23284869633547,64.46820176234152
173,NGA,Nigeria,2013.0,61.30804457976352,42.906182256902206,53.160123270060545,49.276708799849004,63.37075775852406,63.95418791375356,60.75615553947499
174,PAK,Pakistan,2006.0,62.83412921605031,56.80222553162878,62.89538964268466,61.026998981895765,63.02210417429013,65.40825784001306,48.96265435633126
175,PAK,Pakistan,2012.0,76.29863426502078,68.50013592399215,83.38851989652728,79.87128184467254,75.97735429418984,77.17900076393035,67.41268378033612
176,PSE,State of Palestine,2014.0,99.39834623049396,99.60277532016212,99.23030327368626,99.51386310544879,99.25612386949503,99.29474098939592,98.27128563083033
177,PAN,Panama,2013.0,93.36949840069967,90.26617702655409,91.48426979966737,90.92588391860785,93.89146358987901,93.6153619603141,95.47100225898404
178,PER,Peru,2000.0,85.8677686149952,80.19136304298736,85.07837968834475,83.0552242860137,86.37240725920982,87.19111230370487,82.82625747381859
179,PER,Peru,2004.0,92.82129190355124,91.10608249575151,92.50496691711129,91.90315303834305,92.98888971093963,93.26610529368752,91.80812217979505
