T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
533,Aruba,2010,Major trading partner 1 (% of exports),Colombia,,27.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
533,Aruba,2017,Major trading partner 1 (% of exports),Colombia,,24.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
533,Aruba,2005,Major trading partner 1 (% of imports),United States,,55.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
533,Aruba,2010,Major trading partner 1 (% of imports),United States,,50.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
533,Aruba,2017,Major trading partner 1 (% of imports),United States,,55.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
533,Aruba,2005,Major trading partner 2 (% of exports),United States,,11.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
533,Aruba,2010,Major trading partner 2 (% of exports),United States,,6.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
533,Aruba,2017,Major trading partner 2 (% of exports),United States,,19.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
533,Aruba,2005,Major trading partner 2 (% of imports),Netherlands,,12.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
533,Aruba,2010,Major trading partner 2 (% of imports),Netherlands,,11.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
